regions,tech,vintage,rate,tech_notes
TO,PASTRAROATRULGTRSHBEV640BELC____23,2041,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2042,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2043,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2044,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2045,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2046,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2047,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2048,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2049,0.12,
TO,PASTRAROATRULGTRSHBEV640BELC____23,2050,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2023,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2024,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2025,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2026,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2027,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2028,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2029,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2030,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2031,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2032,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2033,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2034,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2035,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2036,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2037,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2038,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2039,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2040,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2041,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2042,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2043,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2044,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2045,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2046,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2047,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2048,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2049,0.12,
TO,PASTRAROATRULGTTAXBEV320BELC____23,2050,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2023,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2024,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2025,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2026,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2027,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2028,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2029,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2030,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2031,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2032,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2033,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2034,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2035,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2036,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2037,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2038,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2039,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2040,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2041,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2042,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2043,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2044,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2045,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2046,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2047,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2048,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2049,0.12,
TO,PASTRAROATRULGTTAXBEV480BELC____23,2050,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2023,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2024,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2025,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2026,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2027,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2028,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2029,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2030,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2031,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2032,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2033,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2034,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2035,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2036,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2037,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2038,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2039,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2040,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2041,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2042,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2043,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2044,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2045,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2046,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2047,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2048,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2049,0.12,
TO,PASTRAROATRULGTTAXBEV640BELC____23,2050,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2023,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2024,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2025,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2026,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2027,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2028,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2029,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2030,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2031,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2032,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2033,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2034,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2035,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2036,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2037,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2038,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2039,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2040,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2041,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2042,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2043,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2044,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2045,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2046,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2047,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2048,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2049,0.12,
TO,PASTRAROATRULGTADRBEV320BELC____23,2050,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2023,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2024,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2025,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2026,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2027,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2028,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2029,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2030,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2031,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2032,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2033,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2034,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2035,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2036,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2037,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2038,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2039,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2040,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2041,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2042,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2043,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2044,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2045,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2046,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2047,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2048,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2049,0.12,
TO,PASTRAROATRULGTADRBEV480BELC____23,2050,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2023,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2024,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2025,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2026,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2027,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2028,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2029,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2030,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2031,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2032,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2033,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2034,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2035,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2036,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2037,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2038,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2039,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2040,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2041,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2042,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2043,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2044,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2045,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2046,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2047,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2048,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2049,0.12,
TO,PASTRAROATRULGTADRBEV640BELC____23,2050,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2023,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2024,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2025,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2026,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2027,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2028,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2029,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2030,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2031,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2032,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2033,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2034,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2035,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2036,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2037,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2038,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2039,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2040,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2041,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2042,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2043,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2044,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2045,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2046,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2047,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2048,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2049,0.12,
TO,PASTRAROATRULGTAPGBEV320BELC____23,2050,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2023,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2024,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2025,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2026,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2027,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2028,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2029,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2030,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2031,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2032,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2033,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2034,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2035,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2036,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2037,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2038,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2039,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2040,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2041,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2042,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2043,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2044,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2045,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2046,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2047,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2048,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2049,0.12,
TO,PASTRAROATRULGTAPGBEV480BELC____23,2050,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2023,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2024,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2025,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2026,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2027,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2028,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2029,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2030,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2031,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2032,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2033,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2034,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2035,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2036,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2037,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2038,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2039,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2040,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2041,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2042,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2043,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2044,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2045,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2046,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2047,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2048,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2049,0.12,
TO,PASTRAROATRULGTAPGBEV640BELC____23,2050,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2023,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2024,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2025,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2026,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2027,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2028,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2029,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2030,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2031,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2032,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2033,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2034,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2035,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2036,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2037,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2038,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2039,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2040,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2041,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2042,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2043,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2044,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2045,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2046,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2047,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2048,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2049,0.12,
TO,PASTRAROAMOR______BEVBELC____23,2050,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2023,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2024,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2025,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2026,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2027,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2028,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2029,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2030,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2031,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2032,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2033,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2034,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2035,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2036,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2037,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2038,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2039,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2040,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2041,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2042,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2043,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2044,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2045,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2046,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2047,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2048,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2049,0.12,
TO,PASTRAROACAR___RSHPHEVGASELC_23,2050,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2023,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2024,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2025,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2026,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2027,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2028,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2029,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2030,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2031,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2032,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2033,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2034,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2035,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2036,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2037,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2038,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2039,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2040,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2041,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2042,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2043,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2044,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2045,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2046,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2047,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2048,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2049,0.12,
TO,PASTRAROACAR___TAXPHEVGASELC_23,2050,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2023,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2024,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2025,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2026,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2027,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2028,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2029,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2030,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2031,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2032,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2033,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2034,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2035,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2036,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2037,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2038,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2039,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2040,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2041,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2042,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2043,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2044,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2045,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2046,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2047,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2048,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2049,0.12,
TO,PASTRAROACAR___ADRPHEVGASELC_23,2050,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2023,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2024,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2025,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2026,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2027,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2028,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2029,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2030,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2031,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2032,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2033,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2034,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2035,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2036,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2037,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2038,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2039,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2040,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2041,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2042,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2043,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2044,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2045,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2046,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2047,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2048,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2049,0.12,
TO,PASTRAROACAR___APGPHEVGASELC_23,2050,0.12,
TO,PASTRAROATRULGTRSHPHEVGASELC_23,2023,0.12,
TO,PASTRAROATRULGTRSHPHEVGASELC_23,2024,0.12,
TO,PASTRAROATRULGTRSHPHEVGASELC_23,2025,0.12,
